Geo Point,Official Name Suburb
"-35.30656130840299, 148.0698001995756",Adelong
"-35.153200660317786, 147.54143425897382",Alfredtown
"-29.472950274915295, 153.35621335797546",Angourie
"-34.04066732679613, 149.65737359233714",Arkstone
"-34.42253235769806, 150.4963959077288",Aylmerton
"-30.62032204032927, 151.29913081907628",Balala
"-31.96970785472217, 151.12225022075313",Belltrees
"-33.07471147107355, 151.65343456289628",Blacksmiths
"-28.70270944987564, 150.18468353095008",Boggabilla
"-33.893554034178415, 150.88908790632337",Bonnyrigg
"-28.788316496135298, 152.65224029980152",Bottle Creek
"-31.930540988337246, 151.8182843301376",Bowman
"-35.49007905583847, 150.26390206854262",Brooman
"-36.00339116040563, 146.7732310286285",Bungowannah
"-32.63217450358199, 149.63644828747925",Burrundulla
"-33.41577366912116, 151.22298874369088",Calga
"-34.99070538242738, 150.71964515644507",Callala Bay
"-36.69788151116051, 149.93283296443087",Chinnock
"-33.18308810063914, 149.11655682448244",Clergate
"-31.482895896209723, 145.79279055547252",Cobar
"-28.498910381190274, 153.33217208368603",Commissioners Creek
"-33.919597895615176, 151.25453187733635",Coogee (NSW)
"-30.91901147498354, 148.3448550871749",Coonamble
"-34.65201133930137, 148.022806388174",Cootamundra
"-33.4868679543289, 151.43583272105053",Copacabana
"-28.35630743399424, 152.98149401718112",Cougal
"-36.440047685121534, 148.51157683289898",Crackenback
"-28.38907694136858, 153.51489276275612",Cudgera Creek
"-33.28023087353461, 150.00994030610653",Cullen Bullen
"-35.25148512410559, 146.46603810185402",Cullivel
"-29.644625159086985, 147.6148961905394",Cumborah
"-32.102760014721696, 152.4960316018487",Darawank
"-34.595606993086434, 145.86629625875315",Darlington Point
"-34.18817465951535, 150.71238676272515",Douglas Park
"-34.9843860804654, 147.35351668419162",Downside
"-28.2733601733812, 153.35925121730344",Dungay
"-28.855179790908334, 153.58759822113464",East Ballina
"-33.78878445573061, 151.08398126717833",Eastwood (NSW)
"-33.36461735999736, 149.55150990974678",Eglinton (NSW)
"-33.30206988675151, 149.19584466983014",Emu Swamp
"-33.49304897798118, 149.37562477252968",Fitzgeralds Mount
"-31.36459252644224, 141.67865429450075",Fowlers Gap
"-32.987923850173274, 151.4927905189597",Freemans Waterhole
"-31.900836163768464, 148.09153186050006",Gin Gin (NSW)
"-32.927942816474044, 151.64829736396945",Glendale (NSW)
"-35.82961025109194, 148.62993264810524",Gooandra
"-34.91072294431858, 150.73037037723603",Greenwell Point
"-33.73117608773946, 150.83822274996095",Hassall Grove
"-34.858945713013604, 150.47035734248303",Illaroo
"-31.591491919771986, 152.39635616899707",Innes View
"-35.68301383613226, 149.58330314374828",Jerrabattgulla
"-30.922952003229216, 153.02763673112838",Jerseyville
"-35.90492645682971, 147.6938025304352",Jingellic
"-31.72829434758132, 152.69931067125748",Johns River
"-35.15309483114944, 147.27760329425234",Kapooka
"-31.392190735085784, 152.43382732731604",Kindee
"-34.66963692062859, 149.68706413436675",Kingsdale
"-32.33167852410628, 144.9154633849203",Kulwin (NSW)
"-34.34920283395112, 149.56288834668902",Laggan
"-34.4842978326821, 150.8670050092664",Lake Heights
"-32.961922769736915, 151.64978537904443",Lakelands (NSW)
"-35.32180930551852, 149.76894254134618",Larbert
"-32.48231849512631, 150.95633475058793",Lemington
"-32.73213035666919, 152.02962233109605",Lemon Tree Passage
"-28.634420947141145, 152.12011951073617",Liston
"-33.482787858696895, 150.15713211932157",Lithgow
"-33.3597887073591, 151.4865155308448",Long Jetty
"-29.448594269834484, 153.21474928219115",Maclean
"-32.951115762821146, 151.64465080269213",Macquarie Hills
"-32.53778115151263, 151.09031111825155",Maison Dieu
"-33.212502502222506, 148.64849341945757",Manildra
"-33.84481551246378, 151.20303450232532",McMahons Point
"-32.335499967674835, 149.35779680313658",Mebul
"-33.836109680486935, 150.98669815398992",Merrylands
"-32.40056147211267, 146.92806019150868",Miamley
"-33.45282129498484, 149.1914292937694",Millthorpe
"-32.37830859522455, 151.372285986679",Mirannie
"-32.07214377778362, 150.7968084200342",Moobi
"-29.452751322692787, 152.2479050051016",Moogem
"-33.5611744968651, 148.69854958610702",Moorbel
"-33.94315460147234, 150.93774787546002",Moorebank
"-31.77711529434, 152.6487930985566",Moorland (NSW)
"-34.55027793844244, 150.3949845218597",Moss Vale
"-28.5004849841049, 153.19408572050946",Mount Burrell
"-33.40499125713902, 151.3858810840051",Mount Elliot (NSW)
"-32.76322323169496, 145.9089032903319",Mount Hope (NSW)
"-33.45115718516877, 149.55258886317768",Mount Panorama
"-33.74939971522893, 151.27312619575844",Narraweena
"-32.72388005092486, 151.72505418576606",Nelsons Plains
"-35.755788701893586, 149.7772680289815",Neringla
"-34.508064943929135, 150.33295812461418",New Berrima
"-35.23777266795343, 144.30791018545253",Niemur
"-28.78623753234905, 153.28349647886725",North Lismore
"-29.06018976664437, 153.34679783311745",North Woodburn
"-33.253363561829474, 149.07251312426294",Orange
"-34.2918313324211, 142.3904410557843",Paringi
"-34.11224963192648, 149.43084790822718",Peelwood
"-28.892355759861477, 153.4987809698666",Pimlico (NSW)
"-35.47161331384456, 146.78571847987783",Pleasant Hills
"-31.10236363503323, 148.7403787373182",Quanda
"-34.37218465823263, 147.32371339408857",Quandary
"-33.42198262375702, 149.65311299955354",Raglan (NSW)
"-34.77129244187445, 150.53097065080064",Red Rocks
"-33.29337466471996, 151.46965280322766",Rocky Point (NSW)
"-30.597067554614274, 151.45901485908527",Rocky River (Uralla - NSW)
"-28.668860277034955, 153.3956583974814",Rosebank
"-33.49433556839203, 150.87644481139102",Sackville
"-33.21464243034171, 151.5210345988438",San Remo (NSW)
"-35.294471699065966, 148.0365717209989",Sandy Gully (NSW)
"-35.744031451211185, 146.0177205654047",Savernake
"-32.77707267587791, 151.44670534220378",Sawyers Gully
"-30.711697141350342, 152.99074062937842",Scotts Head
"-33.38999406180095, 149.19706981461633",Shadforth (NSW)
"-34.57706235907056, 150.86352910421923",Shellharbour
"-29.520547180114274, 153.17064393458685",South Arm (Clarence Valley - NSW)
"-28.498772394825323, 153.54764392970068",South Golden Beach
"-33.49581637870912, 151.34636343991986",St Huberts Island
"-32.58326298247553, 151.4087694772664",Stanhope (NSW)
"-36.57900030624915, 149.36919195759327",Steeple Flat
"-34.37454485462518, 149.7620356588331",Stonequarry
"-33.20668947129847, 149.15382384256097",Summer Hill Creek
"-34.574989806302156, 150.2627692913527",Sutton Forest
"-29.77337341739532, 151.46626729857593",Swan Vale
"-28.673540872905214, 153.5551924857393",Talofa
"-35.714833274107896, 148.6652692321925",Tantangara
"-33.34493543951651, 151.49565890232708",The Entrance
"-32.450032054986345, 149.93314028353421",Tichular
"-37.303558744673566, 149.72093046571652",Timbillica
"-28.705183119743307, 150.6884376763006",Twin Rivers
"-32.391274971900465, 149.38385191679967",Two Mile Flat
"-35.35715792436959, 150.46115752613628",Ulladulla
"-28.27014205788911, 153.30517470702878",Upper Crystal Creek
"-34.693276622594915, 150.5931151464384",Upper Kangaroo River
"-33.13006960284334, 149.7765543005975",Upper Turon
"-30.694420316213943, 148.73061090290145",Urawilkie
"-28.459358958630848, 152.50713269974565",Urbenville
"-35.55995954800353, 149.28883573178032",Urila
"-33.014969598823185, 151.64292554600945",Valentine
"-33.22537827374834, 151.46217023310146",Wallarah
"-36.57930471288057, 149.97331273839504",Wapengo
"-33.85774158299832, 151.1321436087926",Wareemba
"-33.89066479279658, 150.59937603951516",Warragamba
"-33.72196201159651, 150.61342213666353",Warrimoo
"-29.414620581065115, 151.73502883153307",Wellington Vale
"-32.97265658377967, 151.7178823490112",Whitebridge
"-30.84674839790678, 149.85713788581293",Willala
"-33.7563560076501, 150.8806855559351",Woodcroft (NSW)
"-29.488369888318115, 153.31559453526262",Wooloweyah
"-35.85775956715044, 147.27710886505741",Woomargama
"-33.30135045350193, 151.04501659582772",Wrights Creek (NSW)
"-33.36459323857333, 149.67251926027478",Yarras (Bathurst Regional - NSW)
"-37.88093885492225, 144.78443236431673",Altona Meadows
"-35.93068087761662, 143.86424949522643",Appin South
"-37.562286777724786, 143.85020401740073",Ballarat Central
"-37.45541441171086, 144.31118592965439",Barrys Reef
"-38.08716937087697, 144.27454151613776",Batesford
"-37.98218051252433, 145.0388665711282",Beaumaris (Vic.)
"-38.33768185145084, 144.23630325470958",Bellbrae
"-37.697874262305106, 145.28361107344818",Bend Of Islands
"-37.599529483729526, 148.2961411214218",Bete Bolong North
"-37.43625191409227, 143.78069943576938",Blowhard
"-36.41206198275773, 144.72004307448938",Bonn
"-36.098819243530414, 146.24390215581607",Boorhaman North
"-37.0092949830495, 148.05633161348092",Brumby
"-37.766345432176486, 144.96128905576504",Brunswick (Vic.)
"-37.76331194945433, 144.94296001964457",Brunswick West
"-37.36444361826473, 143.16750833234656",Buangor
"-36.67191653050004, 146.6570731629673",Buffalo River
"-38.02803342797596, 147.0175441994358",Bundalaguah
"-36.53074464864962, 144.837406833749",Burramboot
"-37.354241168219055, 144.93872142750476",Bylands
"-37.78158326250614, 147.51007644526544",Calulu
"-38.54273358702344, 145.3440384196386",Cape Woolamai
"-36.462890558969654, 144.89152504638784",Carag Carag
"-36.19942669599864, 146.61614716467588",Chiltern
"-37.9686893162762, 144.621556401991",Cocoroc
"-37.80207169030892, 144.98812752420278",Collingwood (Vic.)
"-38.28244630527335, 143.48890462776643",Corunnun
"-35.708462826266455, 143.12098340087735",Culgoa
"-37.42252955384283, 144.8697628750377",Darraweit Guim
"-37.97389681422191, 146.68726476718035",Dawson (Vic.)
"-38.252402921744554, 145.9337484420495",Ellinbank
"-37.88582680732716, 145.0070094521705",Elsternwick
"-37.69789628515518, 145.14180241354134",Eltham North
"-37.63892454773534, 145.00907690491022",Epping (Vic.)
"-36.7025173337702, 144.30863584856755",Epsom (Vic.)
"-36.76863428399425, 145.56185258673588",Euroa
"-38.30727408250464, 145.9405083755642",Ferndale (Vic.)
"-38.10035701927678, 145.66980381083658",Garfield
"-38.45104258980041, 145.5261986773101",Glen Forbes
"-37.88158434821744, 145.16822180318732",Glen Waverley
"-37.030536987331615, 144.09935710758182",Gower
"-35.960126446073225, 143.61658153289503",Gredgwin
"-37.99835541664855, 141.39866878322644",Greenwald
"-37.61583040273791, 143.63480024768072",Hillcrest (Vic.)
"-37.50193375546463, 145.18557515078578",Humevale
"-38.40543149432097, 145.72433059280038",Jeetho
"-38.135234005151894, 145.29049283221184",Junction Village
"-35.855831296396666, 144.24619735763162",Keely
"-35.779836956907666, 144.01403297909522",Kerang East
"-37.18119612863733, 145.43186784048424",Killingworth (Vic.)
"-38.27363402657322, 142.37271510335",Koroit
